JB5011V,JB5143V,JB3905V,JB4899V,JB4577V,JB3137V,JB4453V,JB4189V,JB4743V,JB3979V,JB4676V,JB4833V,JB3172V,JB4029V,JB2466V,JB4060V,JB4998V,JB1535V,JB4160V,JB4715V,JB4878V,JB5014V,GL4371V,GL3576V,GL3599V,JB4674V,JB4757V,JB3025V,JB4234V,JB4548V,JB4649V,JB4752V,JB5019V,JB4304V,JB4531V,JB4196V,JB3663V,JB2133V,JB4314V,JB4684V,JB5242V,GL4490V,JB4388V,JB4079V,JB1654V,JB4419V,JB5153V,JB4589V,JB4889V,JB5234V,JB4860V,JB3441V,JB5141V,JB4077V,JB3434V,JB5150V,GL4200V,JB2299V,GL4226V,GL3623V,JB3838V,JB3457V,JB2025V,GL3500V,JB3820V,GL3520V,JB3669V,JB4960V,JB4345V,JB4744V,GL5113V,JB4952V,GL3793V,JB5068V,JB3063V,JB3437V,JB5223V,GL3597V,JB4696V,JB4450V,JB4962V,JB4561V,JB4650V,JB4912V,JB2737V,GL3632V,JB4900V,JB3309V,JB4534V,JB1989V,JB5051V,GL3537V,JB4442V,GL4487V,JB4387V,JB4448V
5.424000026,5.391084015,5.376370282,5.258309839,5.353696601,5.29732323,5.337045185,5.177356763,5.392166167,5.333251056,5.337375309,5.269206022,5.365154984,5.302062799,5.357934393,5.897506338,5.287513046,5.0933551,5.296068087,5.170901822,5.187085145,5.102772467,5.297010352,5.081509697,5.288475796,5.284191873,5.230586868,5.091309133,5.229088347,5.147342795,5.241564748,5.073886076,5.452592581,5.151063392,5.22202424,5.253256314,5.32320429,5.261510038,5.264844321,5.332278077,5.376569439,5.254168227,5.324498015,5.220997388,5.3301779,5.238586782,5.287277617,5.146194231,5.062473315,5.050103958,5.049097577,4.921106008,5.037685191,5.02392562,5.178475092,5.008542623,5.105190411,4.998969041,5.217968615,5.11072623,5.144118729,5.01666108,5.151049844,5.169696989,5.343404365,5.251079388,5.245757773,5.350961809,5.234636745,5.243884867,5.49632431,5.138812474,5.45160022,5.427063033,5.371102461,5.24745665,5.301848056,5.327848397,5.399810862,5.17809907,5.33690237,5.225670394,5.347020189,5.244730146,5.763542533,5.397828837,5.444440613,5.454944725,5.425412755,5.281514298,5.332781422,5.314382655,5.364593245,5.338084901,6.515998309,5.16286086
5.43637275,5.415037612,5.296290368,5.309855384,5.356751967,5.224231329,5.302562892,5.168947244,5.301396689,5.277158307,5.271038654,5.318645478,5.374211469,5.225683677,5.321928095,5.788054263,5.303392081,5.114486134,5.265082405,5.114831744,5.165363691,5.09072304,5.212235862,5.118699842,5.312057752,5.321088924,5.135159701,5.088472799,5.188925856,5.127318791,5.215937529,5.078554332,5.395436796,5.174181879,5.217784806,5.253954862,5.28979943,5.235796742,5.261111034,5.307097323,5.319409477,5.169071956,5.316766286,5.200653436,5.305808592,5.276567384,5.243794733,5.099828751,5.07931453,5.020348847,5.073249125,4.93238627,5.135825826,5.001024401,5.08647553,5.056366761,5.130313146,5.054295859,5.176588865,5.120093938,5.087462841,5.077324191,5.247023268,5.117052917,5.360063274,5.200356825,5.246239332,5.257606965,5.261667707,5.206130954,5.394828617,5.130241472,5.400473034,5.377407678,5.37705918,5.299624187,5.287980857,5.347463339,5.350336349,5.153805336,5.263993254,5.236403452,5.661861024,5.208524673,5.64451189,5.382132886,5.437105201,5.467036837,5.472783104,5.277509844,5.349882203,5.313515788,5.457337208,5.288686712,6.261667519,5.170777543
9.495599301,9.185661368,10.09090858,10.55526353,10.91907618,9.885335338,9.557244508,9.377118646,10.8756133,10.19051151,9.462270357,11.28480753,9.779533248,10.17184864,9.627981267,11.84783919,10.73231543,9.907396494,12.01790313,10.00716831,10.60540588,9.905169646,9.686246876,10.54605229,10.32590545,9.466440013,10.80106177,9.366269528,11.07281088,10.73102922,10.76482417,9.618700312,9.418947761,9.971569844,7.82741847,12.18508972,10.19309326,10.87197946,9.383390347,9.666684301,10.48916135,11.17957538,10.17588943,10.17140931,9.458342085,10.45276065,7.351534884,10.73253293,9.891276968,8.712042658,10.48942116,8.805354327,9.390993803,8.908488535,10.60558314,9.851319497,11.18309569,7.614238654,9.377287313,9.14729757,10.70071177,9.409767584,7.493016772,9.982342808,9.718631043,8.22527105,10.27842171,9.438443457,10.16841102,10.94622773,9.307181067,9.076872415,7.394085791,9.793299017,10.57515409,10.2714018,10.27350324,10.25005304,9.256158393,8.327235007,9.655576033,8.768272108,5.371823391,10.49358199,10.31890254,9.794434078,10.36580568,9.512933176,10.576119,9.984926802,9.44884172,8.791625808,11.10568519,9.948955677,10.06356411,12.04395373
12.12701342,12.71144712,12.016865,12.67749114,12.57643369,11.73727663,11.525517,11.41642632,14.10173071,12.90284918,12.2616717,12.18121853,11.84711999,13.1507379,11.04245962,13.1259447,13.8030234,11.77555647,13.23161276,11.6232986,13.41917476,12.02480015,11.23600223,13.45272441,10.54513476,11.8632759,12.8611444,12.11113313,13.39786708,11.80029322,11.53377927,12.94160904,11.19624395,11.97727581,11.77533912,13.60061483,11.6126538,12.67197299,12.28002218,13.81092265,13.43887462,12.07390203,11.86183692,12.20784998,12.68353735,13.90670581,9.343492098,12.72859042,12.49909766,11.85478728,12.64489115,10.45718126,10.03051013,9.494396639,9.88517801,12.89190327,12.04677551,10.69990411,11.42931981,11.67402113,12.04029353,12.1134584,10.69580068,13.02420847,11.51130074,9.326571602,13.43596188,9.543652825,12.11086558,11.65213839,13.1355534,10.92816087,10.68990678,10.0178522,12.30762199,12.09079823,9.186614394,12.22979501,10.44666256,10.49687324,10.89386176,9.694760501,6.066945671,12.41897824,11.62031284,11.19262166,12.30209266,11.11484884,11.85790018,11.75649658,11.64024642,10.31320901,11.89330093,11.68004779,12.34669319,12.68937882
5.421728202,5.525164341,5.329868723,5.28969683,5.341525006,5.311822705,5.39494139,5.263631306,5.44984909,5.322688322,5.371326886,5.452258099,5.407866278,5.37498436,5.336947446,5.653182529,5.205022745,5.145368079,5.362293828,5.208606594,5.213522355,5.103300313,5.245043376,5.061363679,5.28403829,5.287674301,5.228787496,5.135826951,5.238372319,5.1137079,5.212555319,5.133767786,5.402620189,5.223634555,5.360507118,5.265924532,5.332668191,5.254868971,5.302310181,5.323254988,5.318562572,5.206889541,5.448480454,5.289683201,5.368178148,5.204687105,5.331673492,5.099163533,5.085657111,5.021945256,5.034275713,4.92921287,5.119335845,4.979201829,5.146485178,5.055819708,5.141600362,5.18401138,5.190988308,5.098886906,5.047517555,5.038780579,5.25774495,5.213143425,5.381660781,5.189736446,5.28131975,5.310786162,5.256778795,5.261319232,5.481800157,5.157457466,5.478597671,5.466912975,5.359110833,5.252982444,5.281693483,5.358335421,5.393950943,5.246578235,5.316058495,5.336836459,5.808997465,5.237575497,5.870885576,5.438936283,5.495214754,5.491119747,5.496805881,5.379746378,5.395175691,5.3591876,5.441580266,5.311608245,6.001110524,5.267191354
5.243490788,5.436312901,5.326602263,5.254930463,5.369494831,5.076652077,5.426751499,5.204835135,5.332580136,5.266399639,5.230682675,5.353505129,5.29921753,5.226049597,5.273451464,5.375653638,5.206554618,5.270108175,5.416884377,5.129647373,5.097057271,5.002923665,5.203678418,5.04111551,5.204869243,5.275659797,5.235361019,5.077619015,5.200555215,5.116810089,5.198010755,5.102293225,5.41598203,5.091492807,5.346472769,5.143131804,5.096296224,5.211458566,5.257467443,5.277409545,5.283795587,5.057112387,5.496363308,5.250459404,5.326693484,5.112191356,5.222800686,5.011584311,5.067298474,4.98545346,5.011314155,4.884890273,4.962480973,4.902112073,5.144358777,4.887618101,5.035181207,5.251685949,5.142405652,5.115930253,4.963864675,5.001121608,5.216361084,5.151848415,5.261332926,5.134104587,5.222257503,5.230257302,5.284432456,5.15050745,5.316279853,5.104613194,5.429830681,5.393225078,5.376521797,5.144938819,5.244001113,5.259899314,5.43860841,5.13246916,5.191307144,5.282232513,5.886676314,5.27048067,5.642899193,5.344384584,5.463179894,5.642347958,5.341819593,5.373220488,5.356829928,5.22498637,5.349077492,5.29729493,5.477015158,5.130811378
9.303260822,8.317568583,9.065201705,8.858727326,10.37032243,8.920851184,10.13207603,9.163981469,10.78683073,10.19016604,9.543097654,11.49980354,9.403909521,9.534263185,8.542395396,11.20725075,10.26934272,10.71692032,10.46579363,8.380285806,8.957044106,8.816325431,8.525236347,9.271109633,8.651848337,8.29247663,9.435816204,8.654091816,9.669740422,9.397774906,8.882155776,9.282092623,8.765700638,8.986812342,9.599383281,10.77443324,8.637272764,9.270049844,7.997965786,10.18861751,9.987834274,10.17395934,10.19881525,8.597717379,9.050556162,9.003390058,8.244101955,9.684051374,8.636876468,7.05354083,9.713938287,8.456822761,8.278743217,7.323985642,9.624407594,8.41211589,10.03660614,8.421984343,7.418280798,8.11688274,9.426207604,8.005085864,8.429133853,8.678251773,7.875385668,7.686417732,8.905293673,8.648746672,9.383386057,9.006132816,8.274357616,9.199341597,9.516853682,9.39969578,9.499182216,9.662481969,8.885612987,8.914941138,9.211126159,8.779716992,8.845450668,7.54007367,10.78836255,8.379637127,9.518456475,8.714677147,9.235875749,7.669164162,8.824642575,8.138414638,8.031176582,8.521716361,10.06874748,9.554213646,9.355227078,9.414067336
5.475438881,5.478075221,5.414815803,5.268549233,5.388630846,5.29201029,5.383485289,5.21469425,5.363075361,5.303728175,5.419217536,5.30540242,5.40479228,5.303346314,5.301756352,5.931505495,5.251781883,5.138944809,5.306756069,5.116527666,5.202080553,5.069450674,5.235215741,5.139426677,5.284509923,5.341117639,5.251382593,5.103982005,5.23755956,5.115779078,5.242637742,5.14275612,5.488926531,5.197148812,5.225612926,5.257808867,5.273080818,5.21517682,5.361688353,5.351422324,5.411277603,5.227155447,5.356742224,5.2811998,5.305821887,5.264415675,5.327579949,5.139251668,5.026280313,5.057465315,5.052299455,4.897340327,5.105311632,4.996849509,5.128142221,5.062304104,5.09032087,5.057281817,5.198929837,5.152092836,5.078777324,5.135500315,5.192614362,5.113257355,5.428888068,5.223261389,5.227730144,5.288319747,5.320160379,5.222408536,5.401919578,5.171252776,5.410957573,5.472271835,5.421898839,5.273256626,5.309327699,5.353484713,5.370925038,5.199110474,5.287228231,5.273445761,5.334017756,5.283315002,5.704844603,5.387290678,5.441636591,5.46142903,5.377985539,5.271011273,5.400834737,5.325098464,5.464610481,5.267212624,6.407067793,5.21048199
5.848419613,7.308966417,5.791838964,6.391070101,6.066833893,5.658517218,5.80224004,5.614396711,5.880801586,5.965958621,5.84938983,5.678921475,5.956064533,6.116103909,6.32128626,6.538859228,5.85234258,6.259869879,6.328891935,5.659815514,5.665009872,6.003291877,6.127337871,5.403699955,5.869893125,6.430623771,6.142876463,5.62995748,5.591437011,5.531481043,5.697727909,5.817408132,7.237662047,5.78709983,5.929081132,5.783595919,5.78850346,5.913849381,5.815127009,5.683172247,6.123768031,5.808155856,6.13197876,5.994458092,5.805032282,6.073715426,5.701596039,5.69810882,5.821076403,5.553150768,5.307109469,5.051358183,5.728469833,5.677035933,5.852629147,5.613138016,5.775946602,6.523779644,6.126492735,5.733902886,5.519895636,5.741743328,6.084248558,5.605916534,6.045194563,5.330898248,6.215609861,5.770829046,5.705227466,5.54478976,6.082989758,5.749321107,6.21432009,6.167872757,6.725777668,5.41327816,5.619273123,5.754152671,5.830385016,5.741623778,5.682077492,6.227323,5.815273225,6.181228801,5.878098733,5.910505737,5.778466621,6.646938368,5.705159318,6.095334391,5.724347295,5.596102951,6.097391564,5.723457525,6.601865369,6.515629997
5.495174305,5.46826765,5.401219456,5.291983767,5.369116436,5.300861253,5.352451329,5.219547437,5.397995484,5.35427876,5.38178,5.342960222,5.373947572,5.329636344,5.369494831,5.953959117,5.242641458,5.126646259,5.316746955,5.180140774,5.208565054,5.131514226,5.305472561,5.084744035,5.288056012,5.281910202,5.185569322,5.165680384,5.255933353,5.123974296,5.223690473,5.078415233,5.433308868,5.228124927,5.249679344,5.288365557,5.333203655,5.297720357,5.271077872,5.332363272,5.413564063,5.23719914,5.334002446,5.323807799,5.381583192,5.241355932,5.34728645,5.140871044,5.09087091,5.081741053,5.048424876,4.917300695,5.082610487,4.985723817,5.150491906,5.088194426,5.123416781,5.015401653,5.24704327,5.154090908,5.066877997,5.07620543,5.195763928,5.171500987,5.380768768,5.255912496,5.261406107,5.346275001,5.312016912,5.232391187,5.468109856,5.175324179,5.400352193,5.437765545,5.425435559,5.252809265,5.294814934,5.331012215,5.448351433,5.226510423,5.322725731,5.305860552,5.385312317,5.286127263,5.762389303,5.439111514,5.471941188,5.47984128,5.417134468,5.381508826,5.378015772,5.349170573,5.410164881,5.336051331,6.564904243,5.275922027
